Result,Depth,Expanded Nodes,Max Fringe Size
A* found a path of 5 moves,5,8,26
A* found a path of 7 moves,7,7,22
A* found a path of 9 moves,9,9,31
A* found a path of 7 moves,7,19,62
A* found a path of 9 moves,9,9,30
A* found a path of 9 moves,9,28,86
A* found a path of 11 moves,11,28,94
A* found a path of 9 moves,9,23,75
A* found a path of 11 moves,11,48,151
A* found a path of 1 moves,1,1,4
A* found a path of 9 moves,9,9,31
A* found a path of 5 moves,5,5,19
A* found a path of 11 moves,11,22,68
A* found a path of 11 moves,11,26,88
A* found a path of 13 moves,13,54,168
A* found a path of 9 moves,9,14,49
A* found a path of 3 moves,3,3,12
A* found a path of 11 moves,11,11,34
A* found a path of 3 moves,3,3,12
A* found a path of 9 moves,9,17,54
A* found a path of 11 moves,11,98,310
A* found a path of 17 moves,17,221,690
A* found a path of 11 moves,11,37,116
A* found a path of 17 moves,17,984,3153
A* found a path of 13 moves,13,254,788
A* found a path of 9 moves,9,27,83
A* found a path of 5 moves,5,8,26
A* found a path of 7 moves,7,7,23
A* found a path of 11 moves,11,24,75
A* found a path of 9 moves,9,9,32
A* found a path of 7 moves,7,16,54
A* found a path of 5 moves,5,5,16
A* found a path of 9 moves,9,17,56
A* found a path of 13 moves,13,28,91
A* found a path of 15 moves,15,188,590
A* found a path of 15 moves,15,130,406
A* found a path of 5 moves,5,7,23
A* found a path of 13 moves,13,127,398
A* found a path of 13 moves,13,67,212
A* found a path of 11 moves,11,15,50
A* found a path of 9 moves,9,9,30
A* found a path of 5 moves,5,5,15
A* found a path of 9 moves,9,21,64
A* found a path of 11 moves,11,81,263
A* found a path of 5 moves,5,7,23
A* found a path of 9 moves,9,9,29
A* found a path of 7 moves,7,12,39
A* found a path of 13 moves,13,64,202
A* found a path of 9 moves,9,13,44
A* found a path of 11 moves,11,11,37
A* found a path of 11 moves,11,11,33
A* found a path of 7 moves,7,11,36
A* found a path of 5 moves,5,5,20
A* found a path of 3 moves,3,3,11
A* found a path of 9 moves,9,16,52
A* found a path of 9 moves,9,24,76
A* found a path of 5 moves,5,5,16
A* found a path of 7 moves,7,7,23
A* found a path of 9 moves,9,9,31
A* found a path of 11 moves,11,23,74
A* found a path of 9 moves,9,9,27
A* found a path of 15 moves,15,298,986
A* found a path of 3 moves,3,3,11
A* found a path of 13 moves,13,173,546
A* found a path of 9 moves,9,27,85
A* found a path of 15 moves,15,439,1406
A* found a path of 7 moves,7,7,23
A* found a path of 17 moves,17,236,704
A* found a path of 15 moves,15,153,491
A* found a path of 7 moves,7,19,62
